0,1
Datasets\captcha_images_v2\27476.png,27476
Datasets\captcha_images_v2\83810.png,83810
Datasets\captcha_images_v2\00768.png,00768
Datasets\captcha_images_v2\56114.png,56114
Datasets\captcha_images_v2\14897.png,14897
Datasets\captcha_images_v2\50672.png,50672
Datasets\captcha_images_v2\92057.png,92057
Datasets\captcha_images_v2\24555.png,24555
Datasets\captcha_images_v2\67097.png,67097
Datasets\captcha_images_v2\70265.png,70265
Datasets\captcha_images_v2\92554.png,92554
Datasets\captcha_images_v2\88536.png,88536
Datasets\captcha_images_v2\87648.png,87648
Datasets\captcha_images_v2\52549.png,52549
Datasets\captcha_images_v2\59711.png,59711
Datasets\captcha_images_v2\33087.png,33087
Datasets\captcha_images_v2\70560.png,70560
Datasets\captcha_images_v2\53385.png,53385
Datasets\captcha_images_v2\15847.png,15847
Datasets\captcha_images_v2\42709.png,42709
Datasets\captcha_images_v2\47370.png,47370
Datasets\captcha_images_v2\95886.png,95886
Datasets\captcha_images_v2\02358.png,02358
Datasets\captcha_images_v2\73318.png,73318
Datasets\captcha_images_v2\24775.png,24775
Datasets\captcha_images_v2\94649.png,94649
Datasets\captcha_images_v2\07823.png,07823
Datasets\captcha_images_v2\02791.png,02791
Datasets\captcha_images_v2\96841.png,96841
Datasets\captcha_images_v2\30453.png,30453
Datasets\captcha_images_v2\94687.png,94687
Datasets\captcha_images_v2\70294.png,70294
Datasets\captcha_images_v2\07444.png,07444
Datasets\captcha_images_v2\38792.png,38792
Datasets\captcha_images_v2\23850.png,23850
Datasets\captcha_images_v2\85458.png,85458
Datasets\captcha_images_v2\44269.png,44269
Datasets\captcha_images_v2\82626.png,82626
Datasets\captcha_images_v2\59002.png,59002
Datasets\captcha_images_v2\91381.png,91381
Datasets\captcha_images_v2\36672.png,36672
Datasets\captcha_images_v2\63270.png,63270
Datasets\captcha_images_v2\38917.png,38917
Datasets\captcha_images_v2\38181.png,38181
Datasets\captcha_images_v2\91166.png,91166
Datasets\captcha_images_v2\12374.png,12374
Datasets\captcha_images_v2\08818.png,08818
Datasets\captcha_images_v2\09297.png,09297
Datasets\captcha_images_v2\69608.png,69608
Datasets\captcha_images_v2\62702.png,62702
Datasets\captcha_images_v2\13633.png,13633
Datasets\captcha_images_v2\27719.png,27719
Datasets\captcha_images_v2\81318.png,81318
Datasets\captcha_images_v2\50113.png,50113
Datasets\captcha_images_v2\49672.png,49672
Datasets\captcha_images_v2\10431.png,10431
Datasets\captcha_images_v2\63257.png,63257
Datasets\captcha_images_v2\50968.png,50968
Datasets\captcha_images_v2\99902.png,99902
Datasets\captcha_images_v2\69479.png,69479
Datasets\captcha_images_v2\69017.png,69017
Datasets\captcha_images_v2\41139.png,41139
Datasets\captcha_images_v2\52604.png,52604
Datasets\captcha_images_v2\96578.png,96578
Datasets\captcha_images_v2\16465.png,16465
Datasets\captcha_images_v2\42548.png,42548
Datasets\captcha_images_v2\74814.png,74814
Datasets\captcha_images_v2\79343.png,79343
Datasets\captcha_images_v2\84441.png,84441
Datasets\captcha_images_v2\10650.png,10650
Datasets\captcha_images_v2\80191.png,80191
Datasets\captcha_images_v2\46138.png,46138
Datasets\captcha_images_v2\21548.png,21548
Datasets\captcha_images_v2\32743.png,32743
Datasets\captcha_images_v2\20596.png,20596
Datasets\captcha_images_v2\75584.png,75584
Datasets\captcha_images_v2\28991.png,28991
Datasets\captcha_images_v2\42613.png,42613
Datasets\captcha_images_v2\64014.png,64014
Datasets\captcha_images_v2\44695.png,44695
Datasets\captcha_images_v2\44702.png,44702
Datasets\captcha_images_v2\53109.png,53109
Datasets\captcha_images_v2\08102.png,08102
Datasets\captcha_images_v2\96743.png,96743
Datasets\captcha_images_v2\80450.png,80450
Datasets\captcha_images_v2\00207.png,00207
Datasets\captcha_images_v2\62305.png,62305
Datasets\captcha_images_v2\61819.png,61819
Datasets\captcha_images_v2\40206.png,40206
Datasets\captcha_images_v2\06556.png,06556
Datasets\captcha_images_v2\75949.png,75949
Datasets\captcha_images_v2\28385.png,28385
Datasets\captcha_images_v2\98377.png,98377
Datasets\captcha_images_v2\76623.png,76623
Datasets\captcha_images_v2\05285.png,05285
Datasets\captcha_images_v2\18000.png,18000
Datasets\captcha_images_v2\26096.png,26096
Datasets\captcha_images_v2\53729.png,53729
Datasets\captcha_images_v2\71321.png,71321
Datasets\captcha_images_v2\90822.png,90822
Datasets\captcha_images_v2\73281.png,73281
Datasets\captcha_images_v2\96763.png,96763
Datasets\captcha_images_v2\90999.png,90999
Datasets\captcha_images_v2\58424.png,58424
Datasets\captcha_images_v2\97530.png,97530
Datasets\captcha_images_v2\39525.png,39525
Datasets\captcha_images_v2\49407.png,49407
Datasets\captcha_images_v2\32732.png,32732
Datasets\captcha_images_v2\58732.png,58732
Datasets\captcha_images_v2\48379.png,48379
Datasets\captcha_images_v2\69084.png,69084
Datasets\captcha_images_v2\93542.png,93542
Datasets\captcha_images_v2\99628.png,99628
Datasets\captcha_images_v2\27460.png,27460
Datasets\captcha_images_v2\22504.png,22504
Datasets\captcha_images_v2\79320.png,79320
Datasets\captcha_images_v2\55638.png,55638
Datasets\captcha_images_v2\29772.png,29772
Datasets\captcha_images_v2\37218.png,37218
Datasets\captcha_images_v2\72958.png,72958
Datasets\captcha_images_v2\15389.png,15389
Datasets\captcha_images_v2\70009.png,70009
Datasets\captcha_images_v2\60034.png,60034
Datasets\captcha_images_v2\94249.png,94249
Datasets\captcha_images_v2\24398.png,24398
Datasets\captcha_images_v2\82370.png,82370
Datasets\captcha_images_v2\70414.png,70414
Datasets\captcha_images_v2\14359.png,14359
Datasets\captcha_images_v2\56105.png,56105
Datasets\captcha_images_v2\76418.png,76418
Datasets\captcha_images_v2\91007.png,91007
Datasets\captcha_images_v2\62675.png,62675
Datasets\captcha_images_v2\04965.png,04965
Datasets\captcha_images_v2\83165.png,83165
Datasets\captcha_images_v2\39168.png,39168
Datasets\captcha_images_v2\51659.png,51659
Datasets\captcha_images_v2\01561.png,01561
Datasets\captcha_images_v2\49036.png,49036
Datasets\captcha_images_v2\05884.png,05884
Datasets\captcha_images_v2\76005.png,76005
Datasets\captcha_images_v2\04167.png,04167
Datasets\captcha_images_v2\71506.png,71506
Datasets\captcha_images_v2\94552.png,94552
Datasets\captcha_images_v2\81698.png,81698
Datasets\captcha_images_v2\74308.png,74308
Datasets\captcha_images_v2\09933.png,09933
Datasets\captcha_images_v2\80620.png,80620
Datasets\captcha_images_v2\94175.png,94175
Datasets\captcha_images_v2\55356.png,55356
Datasets\captcha_images_v2\59643.png,59643
Datasets\captcha_images_v2\03762.png,03762
Datasets\captcha_images_v2\32696.png,32696
Datasets\captcha_images_v2\05907.png,05907
Datasets\captcha_images_v2\90769.png,90769
Datasets\captcha_images_v2\26499.png,26499
Datasets\captcha_images_v2\43631.png,43631
Datasets\captcha_images_v2\16162.png,16162
Datasets\captcha_images_v2\55139.png,55139
Datasets\captcha_images_v2\54131.png,54131
Datasets\captcha_images_v2\52468.png,52468
Datasets\captcha_images_v2\47038.png,47038
Datasets\captcha_images_v2\57765.png,57765
Datasets\captcha_images_v2\93052.png,93052
Datasets\captcha_images_v2\69653.png,69653
Datasets\captcha_images_v2\48529.png,48529
Datasets\captcha_images_v2\78256.png,78256
Datasets\captcha_images_v2\70247.png,70247
Datasets\captcha_images_v2\16456.png,16456
Datasets\captcha_images_v2\85218.png,85218
Datasets\captcha_images_v2\87722.png,87722
Datasets\captcha_images_v2\27384.png,27384
Datasets\captcha_images_v2\27948.png,27948
Datasets\captcha_images_v2\36144.png,36144
Datasets\captcha_images_v2\53019.png,53019
Datasets\captcha_images_v2\90552.png,90552
Datasets\captcha_images_v2\97711.png,97711
Datasets\captcha_images_v2\19948.png,19948
Datasets\captcha_images_v2\60169.png,60169
Datasets\captcha_images_v2\93758.png,93758
Datasets\captcha_images_v2\61154.png,61154
Datasets\captcha_images_v2\29464.png,29464
Datasets\captcha_images_v2\88050.png,88050
Datasets\captcha_images_v2\34676.png,34676
Datasets\captcha_images_v2\74251.png,74251
Datasets\captcha_images_v2\88635.png,88635
Datasets\captcha_images_v2\36023.png,36023
Datasets\captcha_images_v2\12107.png,12107
Datasets\captcha_images_v2\70673.png,70673
Datasets\captcha_images_v2\89213.png,89213
Datasets\captcha_images_v2\02347.png,02347
Datasets\captcha_images_v2\07014.png,07014
Datasets\captcha_images_v2\78357.png,78357
Datasets\captcha_images_v2\43004.png,43004
Datasets\captcha_images_v2\04612.png,04612
Datasets\captcha_images_v2\99274.png,99274
Datasets\captcha_images_v2\82835.png,82835
Datasets\captcha_images_v2\79880.png,79880
Datasets\captcha_images_v2\96257.png,96257
Datasets\captcha_images_v2\80218.png,80218
Datasets\captcha_images_v2\73455.png,73455
Datasets\captcha_images_v2\69612.png,69612
Datasets\captcha_images_v2\66831.png,66831
Datasets\captcha_images_v2\50510.png,50510
Datasets\captcha_images_v2\56445.png,56445
Datasets\captcha_images_v2\11947.png,11947
Datasets\captcha_images_v2\67319.png,67319
Datasets\captcha_images_v2\10895.png,10895
Datasets\captcha_images_v2\52187.png,52187
Datasets\captcha_images_v2\04880.png,04880
Datasets\captcha_images_v2\67053.png,67053
Datasets\captcha_images_v2\93422.png,93422
Datasets\captcha_images_v2\72901.png,72901
Datasets\captcha_images_v2\49371.png,49371
Datasets\captcha_images_v2\90415.png,90415
Datasets\captcha_images_v2\06401.png,06401
Datasets\captcha_images_v2\05642.png,05642
Datasets\captcha_images_v2\63530.png,63530
Datasets\captcha_images_v2\18683.png,18683
Datasets\captcha_images_v2\16940.png,16940
Datasets\captcha_images_v2\68988.png,68988
Datasets\captcha_images_v2\45927.png,45927
Datasets\captcha_images_v2\78500.png,78500
Datasets\captcha_images_v2\95269.png,95269
Datasets\captcha_images_v2\75477.png,75477
Datasets\captcha_images_v2\26855.png,26855
Datasets\captcha_images_v2\85672.png,85672
